Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,Previous_Fraudulent_Activity,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Fraud_Label
44.11,Bank Transfer,73205.31,Mobile,Tokyo,Restaurants,0,Mastercard,108,4321.58,Biometric,0.2646,0
84.01,Online,21576.86,Mobile,London,Electronics,0,Discover,193,3149.72,OTP,0.7393,0
71.07,POS,53339.4,Tablet,Tokyo,Electronics,0,Amex,95,4273.98,Password,0.599,0
153.85,ATM Withdrawal,8439.56,Laptop,New York,Groceries,0,Discover,203,107.31,OTP,0.6917,1
43.43,POS,36391.21,Laptop,London,Groceries,0,Discover,107,2702.8,PIN,0.4855,0
203.46,Bank Transfer,61298.86,Mobile,New York,Travel,0,Discover,149,578.25,Password,0.2684,0
121.52,Online,54415.15,Laptop,Mumbai,Travel,0,Discover,26,2509.18,OTP,0.7553,0
79.29,Bank Transfer,79095.69,Laptop,New York,Clothing,0,Mastercard,113,455.2,PIN,0.0429,0
36.91,POS,27861.91,Tablet,Sydney,Travel,0,Mastercard,232,2192.1,OTP,0.3376,1
38.35,POS,81816.45,Tablet,Tokyo,Travel,0,Amex,52,4693.53,OTP,0.4736,0
81.23,Online,80118.59,Tablet,Tokyo,Electronics,0,Amex,209,2396.48,PIN,0.5194,0
13.48,Bank Transfer,41001.62,Tablet,New York,Travel,0,Discover,111,2794.97,Password,0.8642,1
80.7,ATM Withdrawal,31676.53,Mobile,Mumbai,Groceries,0,Visa,88,761.48,PIN,0.4118,0
349.17,Online,90803.53,Laptop,Sydney,Groceries,0,Mastercard,57,2435.96,Biometric,0.2034,0
3.39,Online,37174.92,Tablet,Mumbai,Groceries,0,Visa,57,3107.59,Biometric,0.4833,0
157.57,ATM Withdrawal,84716.3,Tablet,London,Restaurants,0,Amex,231,1908.43,Biometric,0.7888,1
55.21,POS,23700.88,Mobile,Mumbai,Clothing,0,Discover,44,4572.51,Password,0.7535,0
10.42,Online,77361.97,Laptop,Tokyo,Restaurants,0,Mastercard,81,343.55,Biometric,0.4079,0
17.63,Online,68019.82,Mobile,New York,Restaurants,0,Discover,10,71.72,Password,0.4324,0
239.77,POS,63652.98,Mobile,Tokyo,Clothing,0,Mastercard,59,2069.2,Biometric,0.971,1
132.58,ATM Withdrawal,7704.98,Mobile,Tokyo,Electronics,0,Discover,160,1740.85,PIN,0.2574,0
18.9,POS,45276.13,Mobile,Mumbai,Electronics,1,Amex,31,3014.4,Password,0.6706,0
183.79,Bank Transfer,78945.85,Laptop,London,Electronics,0,Amex,99,2793.11,OTP,0.3151,0
115.07,ATM Withdrawal,13790.37,Tablet,New York,Restaurants,0,Visa,30,2655.93,Password,0.5557,0
10.34,POS,36863.98,Laptop,New York,Groceries,0,Mastercard,162,3942.58,OTP,0.897,1
31.63,ATM Withdrawal,89928.71,Tablet,Sydney,Electronics,0,Visa,144,359.56,PIN,0.8645,1
195.87,Online,82956.75,Laptop,Tokyo,Restaurants,0,Mastercard,121,4761.39,Password,0.428,0
120.05,Bank Transfer,7841.5,Mobile,Tokyo,Restaurants,0,Mastercard,193,3523.25,OTP,0.7818,0
53.02,ATM Withdrawal,85353.88,Mobile,London,Clothing,1,Amex,95,3652.3,Password,0.8348,0
88.45,ATM Withdrawal,47699.63,Tablet,London,Groceries,0,Visa,17,2090.54,Biometric,0.2883,0
200.12,ATM Withdrawal,54300.61,Mobile,London,Electronics,0,Mastercard,1,4183.59,Biometric,0.5797,0
10.67,Online,29665.9,Mobile,Mumbai,Clothing,0,Mastercard,234,1204.41,Password,0.9195,1
33.11,Bank Transfer,26632.88,Tablet,New York,Clothing,0,Mastercard,21,4213.3,PIN,0.2129,0
64.5,POS,54070.06,Laptop,London,Travel,0,Mastercard,210,1401.86,Biometric,0.4454,1
50.74,Bank Transfer,7104.76,Tablet,New York,Groceries,1,Amex,104,1160.92,Password,0.8863,1
5.87,Online,47652.72,Laptop,New York,Electronics,0,Visa,160,1064.93,Biometric,0.8563,1
75.7,ATM Withdrawal,32314.96,Mobile,London,Clothing,0,Discover,238,1238.37,Biometric,0.5714,0
8.25,POS,3964.8,Laptop,Sydney,Groceries,0,Discover,135,4590.53,PIN,0.6874,0
22.96,Bank Transfer,37148.82,Laptop,Tokyo,Groceries,0,Visa,112,4726.16,OTP,0.3842,0
79.13,ATM Withdrawal,51872.58,Tablet,Mumbai,Clothing,1,Discover,151,1354.35,Biometric,0.5099,0
152.37,Bank Transfer,30069.32,Laptop,London,Electronics,0,Visa,155,268.5,Biometric,0.8149,0
207.79,ATM Withdrawal,16292.8,Mobile,Mumbai,Electronics,1,Discover,46,2797.42,PIN,0.8149,1
119.25,POS,45981.84,Mobile,Sydney,Restaurants,0,Discover,106,2086.24,PIN,0.2846,0
13.07,Bank Transfer,22300.08,Tablet,Sydney,Groceries,0,Mastercard,147,3248.3,Biometric,0.4916,0
9.05,POS,78833.09,Mobile,London,Groceries,0,Visa,140,4965.15,Password,0.4103,0
7.68,Bank Transfer,39609.91,Mobile,Tokyo,Electronics,0,Amex,155,3568.69,OTP,0.2035,0
90.38,Online,80493.55,Mobile,Sydney,Restaurants,0,Visa,198,3963.89,PIN,0.8951,1
27.17,Online,75317.83,Tablet,Mumbai,Electronics,0,Mastercard,81,4546.73,PIN,0.9707,1
194.01,POS,95443.26,Mobile,London,Restaurants,0,Visa,208,737.67,Biometric,0.3365,0
21.0,Online,44102.58,Mobile,London,Restaurants,0,Visa,201,1472.17,PIN,0.3756,0
294.37,Online,74342.6,Laptop,Tokyo,Groceries,0,Discover,233,4431.53,Biometric,0.7041,0
146.4,POS,42543.03,Mobile,Tokyo,Electronics,0,Visa,168,1190.05,Password,0.6468,0
7.71,Bank Transfer,35701.11,Tablet,Sydney,Restaurants,0,Visa,31,3707.32,OTP,0.173,1
154.22,Bank Transfer,46655.87,Mobile,London,Electronics,0,Visa,84,4397.13,Biometric,0.3608,0
4.3,POS,32162.69,Mobile,London,Restaurants,0,Amex,131,4100.28,OTP,0.2096,0
73.6,Bank Transfer,73641.73,Tablet,Mumbai,Restaurants,0,Visa,77,1112.88,OTP,0.8042,0
226.94,Online,3844.14,Tablet,Sydney,Travel,0,Discover,113,4279.54,PIN,0.5253,0
7.89,Online,13957.58,Laptop,Tokyo,Restaurants,0,Mastercard,99,2410.77,Biometric,0.9805,1
2.13,Bank Transfer,97472.41,Mobile,Tokyo,Electronics,0,Amex,149,755.49,OTP,0.0254,0
188.17,POS,87054.13,Laptop,Mumbai,Restaurants,0,Discover,35,2281.88,Password,0.6609,0
102.42,POS,37450.37,Tablet,New York,Electronics,0,Mastercard,19,3651.24,PIN,0.7336,0
83.4,ATM Withdrawal,9417.04,Laptop,London,Electronics,0,Amex,132,3321.34,PIN,0.7715,0
146.99,POS,99935.24,Laptop,Tokyo,Groceries,0,Visa,217,989.21,Password,0.3016,0
6.98,POS,39403.96,Mobile,New York,Travel,0,Amex,160,3825.4,PIN,0.1726,1
85.05,Online,50404.37,Mobile,Tokyo,Electronics,0,Discover,197,2867.85,PIN,0.3584,0
56.55,Bank Transfer,29094.62,Tablet,Tokyo,Groceries,0,Amex,82,137.91,OTP,0.8762,1
17.57,ATM Withdrawal,97097.13,Tablet,Mumbai,Restaurants,0,Amex,211,194.51,Biometric,0.8702,1
20.68,POS,38563.25,Mobile,Tokyo,Travel,0,Mastercard,1,2346.27,Biometric,0.8734,1
11.99,ATM Withdrawal,4398.48,Laptop,Sydney,Clothing,0,Visa,24,3156.07,PIN,0.909,1
22.74,Bank Transfer,56243.35,Laptop,Tokyo,Travel,0,Discover,123,3397.58,Biometric,0.6997,1
112.4,Bank Transfer,27728.12,Mobile,Tokyo,Travel,1,Visa,11,2689.53,Password,0.2644,0
152.65,Online,33138.32,Mobile,Sydney,Travel,0,Discover,86,4580.41,OTP,0.7109,0
169.65,Online,19999.7,Mobile,London,Travel,0,Mastercard,202,414.49,Password,0.0907,0
56.5,Bank Transfer,80820.8,Mobile,Mumbai,Restaurants,1,Amex,25,365.87,Password,0.9401,1
194.37,POS,39571.64,Laptop,Mumbai,Clothing,0,Mastercard,28,1801.67,OTP,0.7434,0
122.57,Bank Transfer,86470.26,Tablet,Mumbai,Groceries,0,Mastercard,46,4992.92,PIN,0.5073,0
163.89,Bank Transfer,38499.62,Tablet,Tokyo,Electronics,0,Visa,55,3992.16,OTP,0.4801,0
26.51,POS,72884.33,Laptop,Sydney,Electronics,0,Mastercard,96,1283.36,OTP,0.9207,1
152.48,ATM Withdrawal,5626.08,Mobile,London,Clothing,0,Visa,237,4666.25,Biometric,0.4398,0
48.21,Online,78757.28,Tablet,Sydney,Electronics,0,Discover,139,4153.11,Password,0.7013,0
127.44,ATM Withdrawal,87253.51,Laptop,London,Groceries,1,Visa,15,1679.61,PIN,0.879,1
193.83,POS,13570.45,Mobile,New York,Clothing,0,Amex,125,2205.3,OTP,0.1794,1
85.15,ATM Withdrawal,37700.23,Mobile,Sydney,Restaurants,0,Visa,84,184.14,PIN,0.0848,0
40.75,Online,77529.24,Tablet,London,Clothing,0,Discover,214,3716.35,Biometric,0.4785,0
105.78,POS,89293.52,Laptop,Sydney,Travel,0,Mastercard,227,1267.31,OTP,0.9071,1
289.6,POS,77060.53,Mobile,Tokyo,Groceries,0,Mastercard,68,4525.33,PIN,0.1886,0
90.56,POS,90390.74,Mobile,New York,Travel,0,Visa,87,1441.91,PIN,0.1677,0
128.64,Bank Transfer,82855.3,Laptop,New York,Travel,0,Discover,109,3935.91,OTP,0.3186,0
13.65,ATM Withdrawal,38567.08,Mobile,London,Restaurants,0,Visa,54,1674.12,OTP,0.4118,1
194.56,ATM Withdrawal,34502.14,Mobile,New York,Groceries,0,Visa,221,3457.21,OTP,0.7551,0
119.4,ATM Withdrawal,88958.7,Laptop,London,Restaurants,0,Visa,221,381.47,OTP,0.4217,1
123.17,Bank Transfer,1158.15,Tablet,Tokyo,Electronics,0,Discover,25,4329.24,OTP,0.7757,1
35.97,Bank Transfer,69824.48,Tablet,New York,Electronics,0,Discover,230,205.84,Biometric,0.813,0
2.86,Bank Transfer,95707.4,Tablet,Sydney,Electronics,0,Amex,154,4719.89,Password,0.7533,1
0.38,POS,18148.03,Tablet,Tokyo,Electronics,0,Amex,228,896.61,PIN,0.349,0
1.63,Bank Transfer,28860.43,Tablet,Tokyo,Electronics,1,Amex,27,295.28,OTP,0.2878,0
53.68,Bank Transfer,36332.3,Mobile,Sydney,Groceries,0,Mastercard,159,3478.59,Biometric,0.0613,0
115.72,POS,29426.77,Laptop,London,Travel,0,Visa,81,1761.33,Biometric,0.6528,1
93.32,ATM Withdrawal,43552.17,Tablet,London,Travel,0,Mastercard,36,3486.98,OTP,0.4401,0
164.55,ATM Withdrawal,86209.04,Laptop,Tokyo,Restaurants,0,Visa,36,1530.77,PIN,0.2536,0
117.57,Bank Transfer,56945.85,Mobile,Mumbai,Travel,0,Visa,161,266.73,OTP,0.703,0
19.24,POS,32869.42,Tablet,London,Groceries,0,Discover,238,354.75,PIN,0.189,0
27.45,POS,26166.09,Mobile,Tokyo,Electronics,0,Mastercard,108,2066.22,PIN,0.4041,0
77.4,Online,11953.66,Laptop,Sydney,Restaurants,0,Mastercard,136,4436.19,Password,0.1982,0
9.32,Bank Transfer,71411.71,Laptop,Sydney,Groceries,1,Visa,66,577.26,Password,0.2011,0
76.28,Bank Transfer,89017.0,Laptop,Mumbai,Groceries,0,Visa,49,2797.75,Biometric,0.419,0
247.68,ATM Withdrawal,36434.38,Mobile,London,Restaurants,0,Mastercard,234,2496.66,OTP,0.5926,1
496.55,ATM Withdrawal,94493.69,Mobile,London,Clothing,0,Discover,70,3629.27,OTP,0.7982,0
136.83,Online,79975.27,Tablet,London,Electronics,0,Discover,153,1353.08,PIN,0.143,0
17.43,ATM Withdrawal,67661.98,Laptop,London,Clothing,1,Amex,139,1557.6,Password,0.4022,1
165.25,Bank Transfer,81271.08,Mobile,Tokyo,Restaurants,0,Discover,231,3367.24,PIN,0.9781,1
92.25,ATM Withdrawal,5341.72,Laptop,London,Electronics,1,Discover,113,4799.6,Password,0.8671,1
12.75,POS,62715.34,Mobile,New York,Electronics,0,Visa,64,290.86,PIN,0.8256,0
60.75,Online,7610.32,Mobile,Tokyo,Travel,0,Mastercard,120,4647.77,OTP,0.7549,0
145.44,ATM Withdrawal,75469.81,Tablet,Tokyo,Clothing,0,Discover,144,1611.54,PIN,0.8503,1
36.79,Bank Transfer,15944.2,Tablet,Mumbai,Groceries,0,Amex,96,4304.89,OTP,0.5088,0
30.45,Bank Transfer,16550.74,Laptop,Sydney,Electronics,0,Discover,34,250.17,PIN,0.4009,0
159.77,Bank Transfer,41738.06,Mobile,London,Travel,0,Amex,52,110.24,Password,0.453,0
246.04,ATM Withdrawal,40214.2,Tablet,New York,Clothing,0,Discover,230,2340.42,PIN,0.7214,0
20.06,Bank Transfer,2053.31,Mobile,New York,Clothing,0,Mastercard,103,757.3,Password,0.7412,0
65.23,POS,18235.03,Mobile,Tokyo,Electronics,0,Amex,183,350.8,Password,0.9403,1
61.5,Bank Transfer,83576.43,Laptop,Mumbai,Restaurants,1,Discover,26,2866.19,PIN,0.8308,0
40.09,Bank Transfer,48559.44,Mobile,Sydney,Groceries,0,Visa,12,34.65,Password,0.1742,0
149.97,Bank Transfer,29500.82,Laptop,Mumbai,Clothing,0,Discover,141,3475.16,Password,0.8992,1
0.76,POS,62432.9,Mobile,Mumbai,Travel,0,Discover,38,1831.63,PIN,0.7387,0
273.41,POS,49698.94,Laptop,Mumbai,Clothing,0,Amex,206,4482.49,PIN,0.403,0
16.65,Bank Transfer,1589.88,Mobile,London,Travel,0,Discover,33,2607.25,PIN,0.5355,0
176.22,POS,64216.55,Mobile,New York,Electronics,0,Visa,79,3979.22,Biometric,0.4608,0
19.21,Bank Transfer,15750.71,Laptop,New York,Clothing,0,Visa,52,3016.6,Biometric,0.2619,0
379.47,Bank Transfer,1876.37,Tablet,Sydney,Restaurants,0,Discover,90,2966.22,Password,0.3539,0
208.72,Bank Transfer,71178.28,Mobile,Tokyo,Travel,0,Mastercard,19,377.62,OTP,0.7253,1
55.65,Bank Transfer,2210.38,Mobile,London,Restaurants,0,Amex,181,2678.74,PIN,0.5097,0
3.32,POS,74433.83,Mobile,New York,Groceries,0,Discover,111,4119.75,Password,0.673,0
3.27,Bank Transfer,94701.91,Laptop,London,Restaurants,0,Visa,181,2695.79,Biometric,0.2384,0
43.66,Bank Transfer,54215.51,Mobile,New York,Groceries,0,Visa,137,2792.99,Biometric,0.7844,1
15.62,ATM Withdrawal,86070.33,Tablet,London,Restaurants,0,Mastercard,109,2421.3,Password,0.4633,0
2.47,ATM Withdrawal,19040.66,Mobile,New York,Groceries,0,Mastercard,227,211.06,OTP,0.1894,0
35.74,Bank Transfer,82038.65,Mobile,Mumbai,Travel,0,Discover,230,109.26,Password,0.0993,0
27.17,Online,17248.36,Mobile,Sydney,Groceries,0,Discover,24,1728.99,OTP,0.4566,0
101.4,ATM Withdrawal,40856.2,Mobile,Tokyo,Clothing,1,Amex,213,3104.26,PIN,0.6082,0
28.27,ATM Withdrawal,16429.15,Mobile,London,Travel,0,Amex,199,3520.74,OTP,0.4081,0
19.79,Online,67336.16,Tablet,Mumbai,Electronics,0,Mastercard,114,857.87,Password,0.2923,0
226.04,Bank Transfer,21834.53,Laptop,London,Restaurants,0,Visa,177,1717.75,Biometric,0.4607,0
9.24,Online,43366.82,Laptop,Tokyo,Groceries,0,Amex,2,860.15,OTP,0.6262,1
264.44,ATM Withdrawal,25399.71,Tablet,Tokyo,Travel,0,Discover,135,2600.85,Biometric,0.2532,1
8.29,Online,82890.17,Laptop,Tokyo,Clothing,0,Mastercard,6,3500.85,PIN,0.2365,0
146.87,POS,57251.99,Tablet,Tokyo,Groceries,0,Visa,169,4100.01,Password,0.2182,1
34.83,Online,34773.95,Laptop,London,Restaurants,0,Discover,237,754.31,OTP,0.5926,1
22.63,Online,70162.34,Tablet,Tokyo,Travel,0,Visa,28,2939.9,Password,0.2085,0
67.61,Online,32679.28,Laptop,Mumbai,Restaurants,0,Amex,11,1631.41,Biometric,0.4736,0
156.37,Bank Transfer,56410.43,Tablet,London,Electronics,0,Discover,239,1856.3,OTP,0.1062,0
41.93,ATM Withdrawal,55164.21,Mobile,New York,Clothing,0,Discover,157,4291.51,Biometric,0.75,0
80.46,ATM Withdrawal,36396.56,Mobile,Mumbai,Restaurants,0,Mastercard,11,1695.86,Biometric,0.6685,0
212.93,Online,21797.84,Laptop,New York,Electronics,0,Visa,75,1890.52,Biometric,0.1105,0
4.29,ATM Withdrawal,64260.11,Laptop,Tokyo,Clothing,0,Amex,76,4284.43,Password,0.0837,1
201.95,Online,820.18,Tablet,New York,Groceries,0,Discover,196,845.12,Biometric,0.9293,1
53.93,Bank Transfer,54772.17,Laptop,London,Groceries,0,Amex,174,1226.87,OTP,0.3002,0
46.02,ATM Withdrawal,79891.68,Laptop,Mumbai,Electronics,0,Amex,49,255.38,OTP,0.7429,0
85.06,Online,51691.71,Tablet,Mumbai,Groceries,0,Mastercard,176,1107.1,Password,0.3215,0
186.6,ATM Withdrawal,61687.07,Tablet,Mumbai,Groceries,0,Amex,72,739.45,Biometric,0.1036,0
103.87,Online,55069.53,Laptop,Tokyo,Travel,0,Visa,38,3199.69,PIN,0.8048,0
15.56,Bank Transfer,35630.87,Tablet,London,Electronics,0,Amex,19,559.35,OTP,0.1602,0
131.39,Online,59429.51,Tablet,New York,Electronics,0,Mastercard,123,3513.61,PIN,0.2732,0
175.6,POS,56536.76,Laptop,New York,Groceries,0,Visa,26,189.94,Biometric,0.1562,0
14.56,POS,57066.94,Mobile,Tokyo,Restaurants,0,Amex,78,534.31,Biometric,0.6278,0
164.73,ATM Withdrawal,34611.81,Mobile,Mumbai,Clothing,0,Discover,83,1343.49,Password,0.3599,1
36.49,Bank Transfer,25354.08,Tablet,London,Clothing,0,Mastercard,53,2487.58,Password,0.3801,0
11.49,Online,49287.37,Tablet,Mumbai,Travel,0,Visa,170,2290.66,Password,0.1173,0
12.28,POS,64635.95,Tablet,London,Restaurants,0,Discover,44,3162.09,PIN,0.4477,0
46.62,ATM Withdrawal,92528.83,Laptop,Tokyo,Electronics,0,Mastercard,37,568.99,Biometric,0.2522,0
127.2,Online,86658.91,Laptop,Sydney,Clothing,0,Discover,203,2173.0,OTP,0.6143,0
64.78,Online,25291.69,Tablet,London,Clothing,0,Discover,133,2042.18,Password,0.9632,1
45.9,ATM Withdrawal,38209.41,Laptop,Tokyo,Travel,0,Visa,72,3403.63,PIN,0.3288,0
32.96,ATM Withdrawal,63465.22,Mobile,New York,Clothing,0,Visa,16,2853.79,Password,0.4543,1
21.5,Online,3445.99,Tablet,London,Electronics,0,Amex,120,1906.09,PIN,0.7379,0
42.74,ATM Withdrawal,75403.43,Laptop,Tokyo,Electronics,0,Visa,168,711.34,PIN,0.0079,0
120.97,Online,80825.39,Laptop,Sydney,Electronics,0,Visa,14,2153.44,Biometric,0.0015,0
100.49,Bank Transfer,17378.17,Tablet,Sydney,Travel,0,Amex,197,1960.94,Password,0.3488,0
75.82,Bank Transfer,29596.51,Mobile,London,Restaurants,0,Discover,2,398.32,PIN,0.7498,1
43.25,ATM Withdrawal,41110.97,Laptop,London,Clothing,0,Discover,88,2859.76,OTP,0.1414,0
193.11,Bank Transfer,605.14,Mobile,Mumbai,Restaurants,0,Discover,181,1711.64,OTP,0.0795,0
81.86,POS,50493.34,Laptop,London,Restaurants,0,Amex,75,2593.81,OTP,0.8697,1
20.75,Bank Transfer,98981.24,Mobile,London,Electronics,0,Visa,211,2827.39,PIN,0.48,0
24.24,POS,13907.61,Mobile,Tokyo,Groceries,0,Amex,111,3814.29,PIN,0.9499,1
144.67,Bank Transfer,88019.88,Tablet,Mumbai,Travel,0,Amex,160,2310.61,OTP,0.0179,0
163.34,POS,50340.31,Tablet,New York,Groceries,0,Amex,47,3619.29,Biometric,0.5094,0
39.21,Bank Transfer,6000.86,Mobile,New York,Groceries,0,Visa,174,1999.53,OTP,0.8097,0
217.96,Bank Transfer,61052.12,Laptop,New York,Groceries,0,Discover,186,4068.31,Biometric,0.5545,1
36.08,POS,1038.04,Mobile,Tokyo,Groceries,0,Visa,210,1443.43,OTP,0.5719,0
249.2,ATM Withdrawal,85289.58,Mobile,Sydney,Travel,0,Mastercard,173,3029.42,Biometric,0.5587,1
208.5,Bank Transfer,27070.18,Laptop,Sydney,Electronics,0,Amex,197,1497.0,Password,0.5915,0
173.88,POS,86444.56,Mobile,London,Clothing,0,Discover,97,1104.68,Password,0.8675,1
11.35,Bank Transfer,9937.9,Tablet,London,Travel,0,Amex,42,4936.58,PIN,0.3866,0
233.68,POS,48517.45,Mobile,New York,Groceries,0,Mastercard,226,2294.42,Password,0.5799,0
70.53,Bank Transfer,58109.66,Laptop,London,Groceries,0,Visa,177,2042.51,Biometric,0.6318,1
35.27,POS,47561.98,Tablet,Sydney,Restaurants,0,Visa,5,902.45,PIN,0.5402,0
7.08,Online,9793.25,Mobile,Mumbai,Restaurants,1,Mastercard,174,1480.46,Biometric,0.4234,0
463.51,Online,65993.49,Mobile,New York,Electronics,0,Visa,90,2157.8,PIN,0.6239,0
221.83,POS,96231.13,Mobile,London,Groceries,0,Discover,174,4551.11,Biometric,0.7709,0
37.56,Online,10249.62,Mobile,London,Groceries,0,Visa,28,2987.98,OTP,0.056,0
193.26,POS,85671.69,Mobile,Mumbai,Groceries,0,Discover,210,3751.89,Password,0.2807,1
294.3,Bank Transfer,8262.21,Mobile,London,Electronics,0,Mastercard,135,2490.36,OTP,0.8929,1
67.6,Bank Transfer,96076.8,Mobile,London,Travel,0,Mastercard,227,1443.11,Biometric,0.0774,0
170.01,Online,60284.11,Tablet,Tokyo,Electronics,0,Mastercard,123,4281.99,PIN,0.7772,0
95.11,Bank Transfer,79018.24,Laptop,Mumbai,Clothing,0,Visa,2,2424.81,OTP,0.8547,1
114.68,Online,36570.96,Mobile,Sydney,Clothing,0,Discover,112,3517.66,OTP,0.486,0
256.1,Bank Transfer,66119.53,Mobile,Mumbai,Restaurants,0,Amex,18,3939.65,Password,0.2141,0
69.23,ATM Withdrawal,6562.32,Tablet,Tokyo,Restaurants,0,Mastercard,114,3192.44,Password,0.58,0
74.12,Bank Transfer,17572.72,Mobile,New York,Electronics,0,Mastercard,33,3623.32,PIN,0.1802,0
13.69,ATM Withdrawal,9073.68,Mobile,New York,Restaurants,0,Mastercard,105,508.03,Password,0.5891,0
50.1,Online,3025.47,Laptop,Mumbai,Clothing,0,Mastercard,71,3312.77,Biometric,0.8909,1
27.06,ATM Withdrawal,99107.52,Laptop,Mumbai,Electronics,0,Mastercard,97,1950.59,OTP,0.312,0
79.34,ATM Withdrawal,30206.45,Laptop,London,Clothing,0,Mastercard,193,3190.49,Password,0.4065,1
14.29,Online,36726.71,Tablet,New York,Groceries,0,Mastercard,141,2324.5,PIN,0.3612,1
0.6,POS,23199.45,Tablet,Mumbai,Groceries,0,Visa,120,3512.95,PIN,0.5076,0
140.92,ATM Withdrawal,52978.26,Mobile,Mumbai,Restaurants,0,Visa,27,560.61,Password,0.3528,1
149.92,ATM Withdrawal,22406.08,Laptop,Mumbai,Travel,0,Visa,169,1255.03,OTP,0.0802,0
22.54,Bank Transfer,75464.1,Tablet,Tokyo,Restaurants,0,Discover,151,3581.43,OTP,0.7473,0
107.34,Bank Transfer,14785.88,Tablet,London,Electronics,0,Visa,83,4226.77,Password,0.9267,1
81.02,POS,26596.65,Tablet,London,Electronics,0,Discover,37,4970.75,Biometric,0.4371,0
80.07,POS,63514.65,Tablet,London,Electronics,0,Amex,56,4805.48,PIN,0.9871,1
36.9,Online,69408.2,Mobile,Tokyo,Clothing,0,Visa,211,3795.94,Password,0.7575,1
122.06,POS,98137.9,Laptop,New York,Travel,0,Amex,128,3299.78,Password,0.4067,0
53.72,POS,25523.27,Laptop,Sydney,Restaurants,0,Visa,10,2370.04,Biometric,0.4793,0
181.29,Online,72644.3,Tablet,New York,Restaurants,0,Discover,117,4080.54,PIN,0.3066,1
31.24,Bank Transfer,87582.73,Mobile,Sydney,Groceries,0,Amex,49,3636.55,PIN,0.8515,1
63.04,Bank Transfer,21043.81,Mobile,Tokyo,Electronics,0,Visa,47,797.94,Biometric,0.6878,0
266.36,ATM Withdrawal,90386.33,Tablet,Tokyo,Travel,0,Visa,179,739.79,OTP,0.7672,0
215.08,Online,21590.61,Tablet,New York,Travel,0,Mastercard,208,4949.65,Biometric,0.273,1
51.53,Online,43673.41,Tablet,New York,Electronics,0,Mastercard,112,3245.33,PIN,0.78,1
29.35,POS,25869.48,Mobile,Tokyo,Electronics,0,Visa,178,4159.22,Biometric,0.372,0
55.33,Bank Transfer,563.73,Mobile,Sydney,Clothing,0,Visa,57,407.63,Biometric,0.7957,0
206.34,POS,41294.52,Laptop,New York,Clothing,1,Mastercard,123,4380.53,Biometric,0.1615,0
54.77,ATM Withdrawal,86154.82,Tablet,New York,Travel,0,Discover,4,2807.96,Biometric,0.9374,1
9.72,POS,32762.07,Tablet,Tokyo,Restaurants,0,Discover,27,439.53,PIN,0.6291,1
23.66,POS,72405.35,Tablet,Sydney,Travel,0,Visa,227,81.64,OTP,0.6615,1
73.77,Online,86724.67,Tablet,Sydney,Restaurants,0,Amex,213,1425.38,Biometric,0.9217,1
94.64,ATM Withdrawal,58289.25,Mobile,New York,Groceries,0,Amex,147,3997.91,PIN,0.3541,1
47.68,Online,95829.61,Mobile,London,Travel,0,Visa,164,4804.07,Password,0.8604,1
309.17,POS,20151.5,Tablet,New York,Clothing,0,Visa,63,670.44,PIN,0.5246,0
172.72,Online,31228.52,Laptop,London,Electronics,0,Visa,133,4233.59,Biometric,0.2356,0
24.87,ATM Withdrawal,8758.17,Mobile,Mumbai,Travel,0,Amex,39,1916.1,Password,0.4076,1
42.86,POS,91765.47,Tablet,Sydney,Clothing,1,Discover,222,1396.8,PIN,0.1788,0
75.1,ATM Withdrawal,52292.81,Tablet,Sydney,Travel,0,Visa,168,144.93,PIN,0.2707,0
81.52,ATM Withdrawal,40893.5,Mobile,Mumbai,Clothing,0,Mastercard,38,4553.66,PIN,0.9757,1
62.37,Bank Transfer,70494.46,Tablet,New York,Clothing,0,Mastercard,2,4005.16,OTP,0.8217,0
403.32,Online,35796.02,Laptop,New York,Electronics,0,Visa,129,2160.45,PIN,0.7333,0
69.84,Online,13057.88,Laptop,New York,Restaurants,0,Discover,152,53.45,Biometric,0.1991,0
133.54,Online,42512.65,Laptop,Sydney,Travel,1,Amex,3,3258.36,OTP,0.1364,0
79.75,POS,18846.84,Laptop,New York,Clothing,0,Visa,68,435.24,Password,0.4248,1
183.07,Online,76125.73,Laptop,Mumbai,Electronics,0,Discover,113,129.75,OTP,0.6245,0
72.49,POS,5042.4,Tablet,Sydney,Restaurants,1,Visa,72,1569.22,PIN,0.6905,0
3.39,Online,51028.64,Laptop,New York,Restaurants,0,Visa,142,3408.04,Password,0.5422,0
38.71,Bank Transfer,12698.16,Mobile,Mumbai,Electronics,0,Discover,166,3755.52,Biometric,0.8658,1
114.25,ATM Withdrawal,78129.52,Tablet,New York,Clothing,0,Amex,128,4828.94,Password,0.9944,1
28.58,Bank Transfer,60642.22,Laptop,London,Clothing,0,Visa,143,3260.29,Biometric,0.8145,0
201.87,Bank Transfer,18455.77,Laptop,Sydney,Groceries,0,Visa,77,464.38,Password,0.9558,1
82.28,Bank Transfer,36402.08,Tablet,Mumbai,Clothing,0,Visa,203,3622.86,OTP,0.0114,0
322.39,Online,68071.56,Laptop,Mumbai,Restaurants,0,Amex,176,4201.64,Password,0.8621,1
